+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------+
| collector                                              | url                                                                                                                                                        |
| routeservers.pch/route-collector.gnd.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.gnd.pch.net/route-collector.gnd.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.hkg.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.hkg.pch.net/route-collector.hkg.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.iad.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.iad.pch.net/route-collector.iad.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.icn.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.icn.pch.net/route-collector.icn.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.ist.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.ist.pch.net/route-collector.ist.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.jax.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.jax.pch.net/route-collector.jax.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.jkt.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.jkt.pch.net/route-collector.jkt.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.jpix.pch.net          | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.jpix.pch.net/route-collector.jpix.pch.net.<YYYY>.<MM>.<DD>.gz                   |
| routeservers.pch/route-collector.ktm.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.ktm.pch.net/route-collector.ktm.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.lax.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.lax.pch.net/route-collector.lax.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.lga.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.lga.pch.net/route-collector.lga.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.lhr.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.lhr.pch.net/route-collector.lhr.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.lonap.pch.net         | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.lonap.pch.net/route-collector.lonap.pch.net.<YYYY>.<MM>.<DD>.gz                 |
| routeservers.pch/route-collector.mcix.pch.net          | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.mcix.pch.net/route-collector.mcix.pch.net.<YYYY>.<MM>.<DD>.gz                   |
| routeservers.pch/route-collector.mia.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.mia.pch.net/route-collector.mia.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.mnl.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.mnl.pch.net/route-collector.mnl.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.mpm.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.mpm.pch.net/route-collector.mpm.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.muc.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.muc.pch.net/route-collector.muc.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.nbo.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.nbo.pch.net/route-collector.nbo.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.nl-ix.pch.net         | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.nl-ix.pch.net/route-collector.nl-ix.pch.net.<YYYY>.<MM>.<DD>.gz                 |
| routeservers.pch/route-collector.nrt.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.nrt.pch.net/route-collector.nrt.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.nyiix.pch.net         | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.nyiix.pch.net/route-collector.nyiix.pch.net.<YYYY>.<MM>.<DD>.gz                 |
| routeservers.pch/route-collector.ord.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.ord.pch.net/route-collector.ord.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.paix-sea.pch.net      | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.paix-sea.pch.net/route-collector.paix-sea.pch.net.<YYYY>.<MM>.<DD>.gz           |
| routeservers.pch/route-collector.pao.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.pao.pch.net/route-collector.pao.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.per.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.per.pch.net/route-collector.per.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.sea.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.sea.pch.net/route-collector.sea.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.sfinx.pch.net         | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.sfinx.pch.net/route-collector.sfinx.pch.net.<YYYY>.<MM>.<DD>.gz                 |
| routeservers.pch/route-collector.sgw.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.sgw.pch.net/route-collector.sgw.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.sin.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.sin.pch.net/route-collector.sin.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.sna.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.sna.pch.net/route-collector.sna.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.sof.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.sof.pch.net/route-collector.sof.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.syd.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.syd.pch.net/route-collector.syd.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.tie-ny.pch.net        | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.tie-ny.pch.net/route-collector.tie-ny.pch.net.<YYYY>.<MM>.<DD>.gz               |
| routeservers.pch/route-collector.tll.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.tll.pch.net/route-collector.tll.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.tmp.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.tmp.pch.net/route-collector.tmp.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.trn.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.trn.pch.net/route-collector.trn.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.vie.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.vie.pch.net/route-collector.vie.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.waw.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.waw.pch.net/route-collector.waw.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.wlg.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.wlg.pch.net/route-collector.wlg.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.yow.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.yow.pch.net/route-collector.yow.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.yyz.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.yyz.pch.net/route-collector.yyz.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.zrh.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.zrh.pch.net/route-collector.zrh.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| rv/eqix                                                | http://archive.routeviews.org/route-views.eqix/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                             |
| rv/eqix                                                | http://archive.routeviews.org/route-views.eqix/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                    |
| rv/isc                                                 | http://archive.routeviews.org/route-views.isc/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                              |
| rv/isc                                                 | http://archive.routeviews.org/route-views.isc/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                     |
| rv/kixp                                                | http://archive.routeviews.org/route-views.kixp/bgpdata/<YYYY>.<MM>/RIBS/rib.<YYYY><MM><DD>.<HH><mm>.bz2                                                    |
| rv/kixp                                                | http://archive.routeviews.org/route-views.kixp/bgpdata/<YYYY>.<MM>/UPDATES/updates.<YYYY><MM><DD>.<HH><mm>.bz2                                             |
